,Unnamed: 0,Made Donation in March 2007
0,659,0.003444959043942989
1,276,0.0003547024238527657
2,263,0.002177225134301885
3,303,0.0014798190482358553
4,83,0.0032042961941663173
5,500,0.002047178814162275
6,530,0.0022975015823263664
7,244,0.0007062321098482376
8,249,1.2590017689957204e-05
9,728,0.0002778375318455852
10,129,0.0008247307712240834
11,534,0.0007738872367602528
12,317,0.0020733037864152397
13,401,0.002177225134301885
14,696,0.001672273413576906
15,192,0.0010054355427700848
16,176,0.001098500852154234
17,571,0.0025682486932684604
18,139,0.0003441786130858017
19,423,0.0017210152522396994
20,563,0.0027449390030993685
21,56,0.001920583221915894
22,528,0.002159259175198911
23,101,0.002177225134301885
24,467,0.0011568182098160675
25,382,0.0025424058902493354
26,466,0.002004955713164813
27,294,0.0007062321098482376
28,512,0.0017810035993516384
29,659,0.003444959043942989
30,389,0.002792991764895267
31,487,0.00014705467197189401
32,701,0.002667381265540521
33,419,0.001660461357160071
34,536,0.0004867632042399617
35,240,0.0011590840046218896
36,508,0.0005676089417011425
37,515,0.0007062321098482376
38,283,0.0021023332732837004
39,650,0.002177225134301885
40,65,0.0026111348081681164
41,228,0.0005741226422856471
42,741,0.0002872459738022304
43,297,0.002305424432744574
44,464,0.0004842534635632667
45,63,0.002667381265540521
46,231,0.0021157509683765396
47,28,0.0004295202318625973
48,248,0.0007062321098482376
49,357,0.0007083616492663584
50,300,0.0031106466314170687
51,726,0.0023516699091609204
52,680,0.0006985673713446302
53,520,0.0018226380166838088
54,254,0.00012491581300323555
55,582,0.0009913830357571912
56,143,0.0016235642952385412
57,98,0.0024260536074829585
58,1,0.0016682517510802609
59,221,0.0030022177745481727
60,352,0.002177225134301885
61,64,0.00032341334471321385
62,138,0.0014792841070118878
63,745,0.003257194739088573
64,64,0.00032341334471321385
65,688,0.000360728442013061
66,623,0.00044965152374051485
67,289,0.0006144622263272278
68,174,0.0019087715306457798
69,690,0.002177225134301885
70,105,0.0008491780979457985
71,427,0.0005740978604736695
72,48,3.501755409742544e-05
73,14,0.002177225134301885
74,657,0.0001458319597962511
75,301,0.0007548270689630735
76,455,0.0005295986896760858
77,579,0.0022374353132087422
78,722,0.0004590666971801754
79,98,0.0024260536074829585
80,491,3.501755409742544e-05
81,303,0.0014798190482358553
82,466,0.002004955713164813
83,65,0.0026111348081681164
84,300,0.0031106466314170687
85,9,0.000300423281870754
86,622,0.0010054355427700848
87,323,0.00037747025228106787
88,289,0.0006144622263272278
89,568,0.0019921094862149825
90,290,0.002177225134301885
91,156,0.00029573321175335406
92,464,0.0004842534635632667
93,426,0.0005913285128397806
94,306,0.0008543282103241886
95,4,0.0014365326122250544
96,12,0.0020214618049702853
97,187,0.0013913374372919523
98,406,0.00023060474774015384
99,96,0.0022975015823263664
100,509,0.002667381265540521
101,733,0.0006932891407275584
102,548,0.0002229954269594276
103,478,0.0012595394538443341
104,501,0.0008620774217689767
105,127,0.0026432847950652923
106,199,0.0010946495662531406
107,299,0.0030089393720516043
108,162,0.002177225134301885
109,235,0.0005430046300233813
110,23,0.0009993216275336141
111,473,0.002177225134301885
112,487,0.00014705467197189401
113,683,0.0025226213744316646
114,303,0.0014798190482358553
115,309,0.00012347543363719942
116,569,0.00023413012334788958
117,34,0.0023173871070198485
118,686,0.003002854889155632
119,84,0.001236054608528109
120,733,0.0006932891407275584
121,537,0.002766862797313353
122,181,0.0007350059784548882
123,453,0.0012067314960818932
124,67,0.0029455939960789366
125,161,0.0030225760116966856
126,307,0.0016612208008941324
127,703,0.0010678589633171334
128,181,0.0007350059784548882
129,246,0.0007514502892244905
130,316,0.00211064615093326
131,278,0.0010054355427700848
132,346,0.0010126442065081208
133,545,0.002177225134301885
134,419,0.001660461357160071
135,694,0.0022975015823263664
136,622,0.0010054355427700848
137,663,0.0001629006684753065
138,262,0.0029163488004097537
139,461,0.002627592608657057
140,373,0.0008836503854785665
141,233,0.002177225134301885
142,466,0.002004955713164813
143,207,0.0016235642952385412
144,263,0.002177225134301885
145,16,0.00023413012334788958
146,513,0.00018452207730469968
147,449,0.0017276896658709809
148,429,7.993184790339457e-05
149,701,0.002667381265540521
150,632,0.000127495263755986
151,529,0.003402661560879175
152,245,0.001318353540826137
153,344,0.0005330377006074384
154,353,0.0005762161736803485
155,241,0.0021574025038659534
156,633,0.0005552170490533044
157,624,0.002667381265540521
158,726,0.0023516699091609204
159,189,0.0010054355427700848
160,138,0.0014792841070118878
161,402,0.0007062321098482376
162,511,0.0022404464218230722
163,590,0.0018781715190077381
164,334,0.0007755306859232043
165,447,0.00022574416182388735
166,119,0.002004955713164813
167,389,0.002792991764895267
168,644,0.002177225134301885
169,423,0.0017210152522396994
170,131,0.00023413012334788958
171,405,2.712986947339058e-05
172,82,0.002177225134301885
173,643,0.0005789335373487323
174,156,0.00029573321175335406
175,617,0.00020336572827893868
176,574,0.002493606030810247
177,272,0.0026760183265913595
178,613,0.00016995735215504534
179,545,0.002177225134301885
180,685,0.0007062321098482376
181,570,0.0008790522993399906
182,537,0.002766862797313353
183,691,0.0005552170490533044
184,85,0.003449858953669457
185,483,0.0007514502892244905
186,455,0.0005295986896760858
187,93,0.0010054355427700848
188,744,0.002667381265540521
189,33,0.0007514502892244905
190,321,0.002116651285980263
191,523,0.0011465086989882619
192,426,0.0005913285128397806
193,196,0.0003850682314441355
194,301,0.0007548270689630735
195,103,0.0005552170490533044
196,224,0.00029252797060830374
197,454,0.0002834815879727431
198,585,0.00019851243018873907
199,154,0.002461881872696931
